r thread/INFO]: [Seasons] [SnowGrower] chunk 104,245 grown=2 stale=0 growableB4=239 | cap=253 cov=240 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 103,252 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 111,242 grown=2 stale=0 growableB4=224 | cap=234 cov=224 belowMax=256
[16:09:47] [Server thread/INFO]: Mhakari lost connection: Disconnected
[16:09:47] [Server thread/INFO]: Mhakari left the game
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,246 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 108,247 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 104,265 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,251 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,256 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 98,246 grown=2 stale=0 growableB4=223 | cap=235 cov=224 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 95,264 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 115,261 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,263 grown=2 stale=0 growableB4=174 | cap=180 cov=176 belowMax=254
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 97,244 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,262 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=255
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 107,262 grown=2 stale=0 growableB4=85 | cap=98 cov=94 belowMax=247
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 109,264 grown=2 stale=0 growableB4=157 | cap=162 cov=160 belowMax=253
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,255 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 97,261 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 117,246 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,247 grown=2 stale=0 growableB4=248 | cap=255 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 118,261 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 112,257 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 96,250 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:09:47] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 94,252 grown=2 stale=0 growableB4=240 | cap=252 cov=240 belowMax=256
