6:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,254 grown=2 stale=0 growableB4=240 | cap=246 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,259 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 738,250 grown=2 stale=0 growableB4=109 | cap=126 cov=120 belowMax=245
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 729,250 grown=2 stale=0 growableB4=239 | cap=252 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,263 grown=2 stale=0 growableB4=247 | cap=256 cov=248 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 723,251 grown=2 stale=0 growableB4=240 | cap=251 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 735,259 grown=2 stale=0 growableB4=240 | cap=248 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,260 grown=2 stale=0 growableB4=59 | cap=75 cov=72 belowMax=241
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 725,247 grown=2 stale=0 growableB4=240 | cap=246 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,256 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 739,249 grown=2 stale=0 growableB4=240 | cap=253 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 727,249 grown=2 stale=0 growableB4=248 | cap=254 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 737,258 grown=2 stale=0 growableB4=155 | cap=162 cov=160 belowMax=251
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 731,247 grown=2 stale=0 growableB4=238 | cap=250 cov=240 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 719,264 grown=2 stale=0 growableB4=147 | cap=158 cov=152 belowMax=254
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,248 grown=2 stale=0 growableB4=122 | cap=135 cov=128 belowMax=249
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 740,253 grown=2 stale=0 growableB4=248 | cap=256 cov=248 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 728,245 grown=2 stale=0 growableB4=240 | cap=250 cov=240 belowMax=256
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 720,255 grown=2 stale=0 growableB4=156 | cap=169 cov=160 belowMax=255
[16:43:22] [Server thread/INFO]: [Seasons] [SnowGrower] chunk 734,254 grown=2 stale=0 growableB4=239 | cap=247 cov=240 belowMax=256
